,event,logger,level,timestamp,thread,pair,metadata_calculation_interval_in_seconds,metadata_update_interval_in_seconds,total_runtime_in_seconds
0,using 10 workers,compute_covidcast_meta,info,2022-01-01T04:00:18.082968Z,,,,,
1,starting thread,compute_covidcast_meta,info,2022-01-01T04:00:37.116891Z,MetacacheThread-0,,,,
2,starting thread,compute_covidcast_meta,info,2022-01-01T04:00:37.117762Z,MetacacheThread-4,,,,
3,starting thread,compute_covidcast_meta,info,2022-01-01T04:00:37.117448Z,MetacacheThread-2,,,,
4,starting thread,compute_covidcast_meta,info,2022-01-01T04:00:37.117606Z,MetacacheThread-3,,,,
5,starting thread,compute_covidcast_meta,info,2022-01-01T04:00:37.117236Z,MetacacheThread-1,,,,
6,starting thread,compute_covidcast_meta,info,2022-01-01T04:00:37.118985Z,MetacacheThread-5,,,,
7,starting thread,compute_covidcast_meta,info,2022-01-01T04:00:37.119574Z,MetacacheThread-6,,,,
8,starting pair,compute_covidcast_meta,info,2022-01-01T04:00:37.120352Z,MetacacheThread-4,"(chng, smoothed_adj_outpatient_cli)",,,
9,starting pair,compute_covidcast_meta,info,2022-01-01T04:00:37.121028Z,MetacacheThread-0,"(chng, smoothed_adj_outpatient_covid)",,,
10,starting thread,compute_covidcast_meta,info,2022-01-01T04:00:37.121334Z,MetacacheThread-7,,,,
11,starting pair,compute_covidcast_meta,info,2022-01-01T04:00:37.121687Z,MetacacheThread-2,"(chng, smoothed_adj_outpatient_flu)",,,
12,starting pair,compute_covidcast_meta,info,2022-01-01T04:00:37.121994Z,MetacacheThread-3,"(chng, smoothed_outpatient_cli)",,,
13,starting thread,compute_covidcast_meta,info,2022-01-01T04:00:37.122428Z,MetacacheThread-8,,,,
14,starting pair,compute_covidcast_meta,info,2022-01-01T04:00:37.122983Z,MetacacheThread-5,"(chng, smoothed_outpatient_covid)",,,
15,starting thread,compute_covidcast_meta,info,2022-01-01T04:00:37.123204Z,MetacacheThread-9,,,,
16,starting pair,compute_covidcast_meta,info,2022-01-01T04:00:37.124177Z,MetacacheThread-6,"(chng, smoothed_outpatient_flu)",,,
17,starting pair,compute_covidcast_meta,info,2022-01-01T04:00:37.124879Z,MetacacheThread-1,"(covid-act-now, pcr_specimen_positivity_rate)",,,
18,starting pair,compute_covidcast_meta,info,2022-01-01T04:00:37.125340Z,MetacacheThread-7,"(covid-act-now, pcr_specimen_total_tests)",,,
19,starting pair,compute_covidcast_meta,info,2022-01-01T04:00:37.126583Z,MetacacheThread-8,"(doctor-visits, smoothed_adj_cli)",,,
20,starting pair,compute_covidcast_meta,info,2022-01-01T04:00:37.127453Z,MetacacheThread-9,"(doctor-visits, smoothed_cli)",,,
21,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:22.897201Z,MetacacheThread-6,"(fb-survey, raw_cli)",,,
22,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:23.248633Z,MetacacheThread-2,"(fb-survey, raw_hh_cmnty_cli)",,,
23,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:31.271133Z,MetacacheThread-6,"(fb-survey, raw_ili)",,,
24,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:31.273004Z,MetacacheThread-2,"(fb-survey, raw_nohh_cmnty_cli)",,,
25,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:37.835233Z,MetacacheThread-6,"(fb-survey, raw_wcli)",,,
26,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:37.863922Z,MetacacheThread-2,"(fb-survey, raw_whh_cmnty_cli)",,,
27,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:38.216634Z,MetacacheThread-7,"(fb-survey, raw_wili)",,,
28,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:43.543982Z,MetacacheThread-2,"(fb-survey, raw_wnohh_cmnty_cli)",,,
29,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:43.588307Z,MetacacheThread-6,"(fb-survey, smoothed_accept_covid_vaccine)",,,
30,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:43.800120Z,MetacacheThread-7,"(fb-survey, smoothed_accept_covid_vaccine_no_appointment)",,,
31,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:45.726626Z,MetacacheThread-7,"(fb-survey, smoothed_anxious_5d)",,,
32,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:48.408029Z,MetacacheThread-2,"(fb-survey, smoothed_anxious_7d)",,,
33,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:48.532681Z,MetacacheThread-6,"(fb-survey, smoothed_appointment_not_vaccinated)",,,
34,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:48.595646Z,MetacacheThread-1,"(fb-survey, smoothed_appointment_or_accept_covid_vaccine)",,,
35,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:50.158204Z,MetacacheThread-6,"(fb-survey, smoothed_belief_children_immune)",,,
36,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:50.374450Z,MetacacheThread-1,"(fb-survey, smoothed_belief_created_small_group)",,,
37,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:53.100439Z,MetacacheThread-7,"(fb-survey, smoothed_belief_distancing_effective)",,,
38,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:53.263197Z,MetacacheThread-6,"(fb-survey, smoothed_belief_govt_exploitation)",,,
39,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:53.443008Z,MetacacheThread-1,"(fb-survey, smoothed_belief_masking_effective)",,,
40,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:53.692346Z,MetacacheThread-2,"(fb-survey, smoothed_belief_vaccinated_mask_unnecessary)",,,
41,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:56.235104Z,MetacacheThread-6,"(fb-survey, smoothed_cli)",,,
42,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:56.235601Z,MetacacheThread-7,"(fb-survey, smoothed_covid_vaccinated)",,,
43,starting pair,compute_covidcast_meta,info,2022-01-01T04:01:57.016904Z,MetacacheThread-2,"(fb-survey, smoothed_covid_vaccinated_appointment_or_accept)",,,
